pyDeepSEA AU ROC	pyDeepSEA AU PR
0.90243	0.37265
0.90849	0.38923
0.88396	0.28752
0.91162	0.31143
0.82692	0.31466
0.86892	0.37946
0.90187	0.40387
0.91406	0.37612
0.90903	0.34891
0.90505	0.36331
0.89953	0.36354
0.90814	0.36210
0.87821	0.33601
0.92032	0.44893
0.89115	0.35956
0.86667	0.25228
0.91140	0.37804
0.92142	0.40040
0.91224	0.37792
0.87753	0.35296
0.89051	0.36694
0.93583	0.47007
0.88214	0.36413
0.88558	0.37244
0.88649	0.36288
0.88313	0.36050
0.84905	0.29112
0.83341	0.31892
0.90434	0.37998
0.83935	0.32490
0.90085	0.41344
0.88211	0.33804
0.87534	0.37515
0.90255	0.39809
0.90950	0.42020
0.91291	0.40302
0.86458	0.32547
0.87228	0.33731
0.90953	0.41081
0.89284	0.38247
0.91377	0.40245
0.91363	0.40293
0.91359	0.44539
0.91124	0.38995
0.91791	0.43408
0.91153	0.43081
0.88390	0.39265
0.90858	0.38469
0.93512	0.39460
0.89455	0.34617
0.90126	0.43498
0.89375	0.35096
0.87110	0.40760
0.86775	0.34456
0.90490	0.45191
0.86177	0.37122
0.87791	0.39917
0.85925	0.40113
0.89426	0.46523
0.88873	0.44036
0.88239	0.38946
0.85957	0.34767
0.82934	0.33933
0.84719	0.34899
0.89311	0.40835
0.85060	0.32686
0.86549	0.26055
0.88697	0.34307
0.89332	0.37668
0.88352	0.41778
0.90786	0.42332
0.90759	0.43502
0.89891	0.42736
0.84937	0.27273
0.91260	0.46484
0.91198	0.44729
0.91516	0.44147
0.91642	0.46582
0.91342	0.43512
0.90415	0.45015
0.91062	0.44917
0.91070	0.47723
0.89382	0.43297
0.90842	0.45430
0.90948	0.37906
0.90973	0.46635
0.88415	0.35342
0.92186	0.47596
0.89851	0.37625
0.90449	0.40786
0.89782	0.41349
0.89203	0.36773
0.90295	0.40409
0.89996	0.39861
0.90700	0.42728
0.88977	0.38993
0.91468	0.47658
0.89814	0.35865
0.91771	0.47684
0.90861	0.40269
0.91480	0.42899
0.90334	0.43166
0.90832	0.44520
0.88306	0.35847
0.89116	0.40169
0.89206	0.37390
0.89169	0.39453
0.90895	0.37922
0.90698	0.39117
0.91365	0.43404
0.90983	0.43894
0.90434	0.39253
0.91532	0.45234
0.89404	0.42965
0.89423	0.38335
0.90781	0.40822
0.89318	0.39229
0.91396	0.47204
0.91031	0.43846
0.84130	0.30381
0.90666	0.33411
0.87818	0.27805
0.87271	0.36107
0.89588	0.39810
0.91201	0.41764
0.97567	0.67388
0.93569	0.03026
0.97516	0.64820
0.85467	0.03951
0.93682	0.17706
0.97382	0.62038
0.97788	0.33671
0.98518	0.15731
0.95003	0.40890
0.95945	0.63411
0.73361	0.00943
0.87054	0.08839
0.98091	0.64995
0.94652	0.05045
0.98152	0.64460
0.95048	0.17327
0.97146	0.60892
0.95583	0.07333
0.96785	0.62067
0.98343	0.15127
0.97943	0.64792
0.98351	0.31419
0.89850	0.13679
0.94525	0.19289
0.96601	0.60619
0.83779	0.00710
0.95093	0.28588
0.92227	0.06945
0.97206	0.01303
0.75897	0.01016
0.97680	0.64606
0.95496	0.39603
0.88142	0.22771
0.94212	0.40648
0.97747	0.32183
0.97760	0.64115
0.98450	0.31521
0.97110	0.59768
0.98315	0.28448
0.96769	0.61444
0.97456	0.26892
0.81991	0.06984
0.97711	0.61553
0.97038	0.23427
0.95834	0.65016
0.86849	0.07263
0.80368	0.05514
0.95369	0.39480
0.98545	0.54981
0.98531	0.59178
0.90096	0.20579
0.89976	0.20579
0.90673	0.27653
0.77195	0.01850
0.90458	0.26763
0.86620	0.00815
0.81294	0.09191
0.84331	0.06141
0.84620	0.11116
0.76436	0.09561
0.82538	0.11557
0.95231	0.57095
0.95398	0.58996
0.85365	0.07754
0.89104	0.15848
0.92249	0.32343
0.81865	0.13809
0.89176	0.10599
0.89803	0.12266
0.86087	0.08688
0.89671	0.20429
0.85771	0.09164
0.99429	0.73321
0.79043	0.01114
0.75339	0.03282
0.76434	0.02553
0.80056	0.01339
0.81653	0.03025
0.96295	0.53501
0.83583	0.13021
0.92709	0.10828
0.86870	0.11790
0.87143	0.07832
0.84634	0.09958
0.92627	0.10863
0.84534	0.04883
0.82818	0.08546
0.95302	0.22782
0.95761	0.39438
0.97427	0.17696
0.84062	0.13254
0.98023	0.40792
0.87162	0.08836
0.86896	0.08668
0.86711	0.04857
0.83052	0.08695
0.82709	0.09096
0.82114	0.13794
0.79671	0.05346
0.90069	0.04048
0.86230	0.12986
0.86648	0.10093
0.88048	0.05088
0.87931	0.25564
0.87200	0.32802
0.95029	0.55360
0.86936	0.13755
0.90208	0.22690
0.97227	0.54846
0.84774	0.22511
0.92265	0.02749
0.96304	0.29103
0.91468	0.23966
0.89739	0.12897
0.83262	0.06023
0.93777	0.30323
0.89784	0.10614
0.90591	0.11333
0.94104	0.16044
0.91539	0.31755
0.94388	0.06037
0.93747	0.10265
0.86786	0.02046
0.87701	0.26167
0.88614	0.28550
0.87562	0.10380
0.90518	0.23593
0.94519	0.29546
0.93930	0.25054
0.92835	0.23613
0.87761	0.26541
0.91355	0.40421
0.96246	0.32696
0.90110	0.21014
0.83763	0.08046
0.95859	0.14214
0.82351	0.00555
0.98154	0.57954
0.93228	0.12717
0.91697	0.02282
0.97532	0.25743
0.87534	0.02986
0.91937	0.10238
0.81674	0.01441
0.75307	0.01978
0.86945	0.08746
0.88316	0.26714
0.91347	0.44524
0.78107	0.00581
0.96932	0.63964
0.89013	0.00923
0.91975	0.12286
0.89588	0.07120
0.86723	0.15261
0.95341	0.11617
0.96686	0.25693
0.82974	0.05319
0.96245	0.46576
0.94254	0.27989
0.85303	0.03658
0.85848	0.08277
0.85977	0.10383
0.89566	0.16855
0.88670	0.37398
0.94741	0.23149
0.95334	0.14496
0.97036	0.29591
0.70761	0.01780
0.89679	0.43817
0.94103	0.30631
0.95536	0.13161
0.85699	0.02458
0.92268	0.14616
0.92409	0.11695
0.98447	0.61754
0.90886	0.24620
0.89814	0.17862
0.76862	0.06394
0.76092	0.07253
0.77416	0.06566
0.97834	0.43542
0.79581	0.05287
0.76098	0.02610
0.75728	0.02917
0.88283	0.14528
0.72723	0.01858
0.76457	0.10686
0.73955	0.05758
0.85213	0.04573
0.84524	0.16862
